"Plot Title: Rhee-lab-4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10336344, SEN S/N: 10336344)","RH, % (LGR S/N: 10336344, SEN S/N: 10336344)","Intensity, Lux (LGR S/N: 10336344, SEN S/N: 10336344)","Host Connected (LGR S/N: 10336344)","End Of File (LGR S/N: 10336344)"
46,25-09-26 19:22:44,37.728,33.996,32280.1,,
47,25-09-26 19:27:44,37.728,33.823,32280.1,,
48,25-09-26 19:32:44,37.728,33.823,32280.1,,
49,25-09-26 19:37:44,37.728,33.131,32280.1,,
50,25-09-26 19:42:44,36.905,33.715,11.8,,
51,25-09-26 19:47:44,34.440,37.318,11.8,,
52,25-09-26 19:52:44,32.872,41.199,11.8,,
53,25-09-26 19:57:44,31.816,43.578,11.8,,
54,25-09-26 20:02:44,31.077,45.176,11.8,,
55,25-09-26 20:07:44,30.571,45.740,11.8,,
56,25-09-26 20:12:44,30.268,46.260,11.8,,
57,25-09-26 20:17:44,30.041,46.821,11.8,,
58,25-09-26 20:22:44,29.916,47.230,11.8,,
59,25-09-26 20:27:44,29.815,47.022,11.8,,
60,25-09-26 20:32:44,29.690,46.648,11.8,,
61,25-09-26 20:37:44,29.715,47.107,11.8,,
62,25-09-26 20:42:44,29.665,46.384,11.8,,
63,25-09-26 20:47:44,29.590,45.328,11.8,,
64,25-09-26 20:52:44,29.640,46.119,11.8,,
65,25-09-26 20:57:44,29.590,45.328,11.8,,
66,25-09-26 21:02:44,29.515,44.172,11.8,,
67,25-09-26 21:07:44,29.615,45.364,11.8,,
68,25-09-26 21:12:44,29.540,44.700,11.8,,
69,25-09-26 21:17:44,29.490,44.530,11.8,,
70,25-09-26 21:22:44,29.615,45.168,11.8,,
71,25-09-26 21:27:44,29.515,44.139,11.8,,
72,25-09-26 21:32:44,29.490,44.005,11.8,,
73,25-09-26 21:37:44,29.565,43.224,11.8,,
74,25-09-26 21:42:44,29.439,43.045,11.8,,
75,25-09-26 21:47:44,29.515,43.646,11.8,,
76,25-09-26 21:52:44,29.540,43.550,11.8,,
77,25-09-26 21:57:44,29.414,42.448,11.8,,
78,25-09-26 22:02:44,29.515,43.383,11.8,,
79,25-09-26 22:07:44,29.515,43.185,11.8,,
80,25-09-26 22:12:44,29.414,42.679,11.8,,
81,25-09-26 22:17:44,29.515,43.383,11.8,,
82,25-09-26 22:22:44,29.464,42.586,11.8,,
83,25-09-26 22:27:44,29.389,42.149,11.8,,
84,25-09-26 22:32:44,29.515,43.152,11.8,,
85,25-09-26 22:37:44,29.439,42.418,3.9,,
86,25-09-26 22:42:44,29.414,42.613,3.9,,
87,25-09-26 22:47:44,29.515,43.086,11.8,,
88,25-09-26 22:52:44,29.389,42.049,11.8,,
89,25-09-26 22:57:44,29.439,42.649,11.8,,
90,25-09-26 23:02:44,29.490,42.292,11.8,,
91,25-09-26 23:07:44,29.340,41.614,11.8,,
92,25-09-26 23:12:44,29.464,42.553,3.9,,
93,25-09-26 23:17:44,29.414,42.052,11.8,,
94,25-09-26 23:22:44,29.340,42.077,11.8,,
95,25-09-26 23:27:44,29.464,42.652,3.9,,
96,25-09-26 23:32:44,29.365,41.782,3.9,,
97,25-09-26 23:37:44,29.340,41.680,11.8,,
98,25-09-26 23:42:44,29.439,42.154,11.8,,
99,25-09-26 23:47:44,29.315,41.446,11.8,,
100,25-09-26 23:52:44,29.414,41.953,11.8,,
101,25-09-26 23:57:44,29.439,41.360,3.9,,
102,25-09-27 00:02:44,29.290,41.344,11.8,,
103,25-09-27 00:07:44,29.439,41.923,11.8,,
104,25-09-27 00:12:44,29.365,41.087,11.8,,
105,25-09-27 00:17:44,29.315,41.214,3.9,,
106,25-09-27 00:22:44,29.439,41.360,11.8,,
107,25-09-27 00:27:44,29.290,40.615,3.9,,
108,25-09-27 00:32:44,29.340,41.349,11.8,,
109,25-09-27 00:37:44,29.414,41.887,11.8,,
110,25-09-27 00:42:44,29.265,41.540,11.8,,
111,25-09-27 00:47:44,29.389,42.149,11.8,,
112,25-09-27 00:52:44,29.389,41.620,11.8,,
113,25-09-27 00:57:44,29.265,41.540,11.8,,
114,25-09-27 01:02:44,29.414,42.052,11.8,,
115,25-09-27 01:07:44,29.340,41.184,11.8,,
116,25-09-27 01:12:44,29.290,41.609,11.8,,
117,25-09-27 01:17:44,29.414,42.118,11.8,,
118,25-09-27 01:22:44,29.290,41.476,11.8,,
119,25-09-27 01:27:44,29.340,41.945,11.8,,
120,25-09-27 01:32:44,29.389,42.116,11.8,,
121,25-09-27 01:37:44,29.265,41.341,11.8,,
122,25-09-27 01:42:44,29.365,41.848,11.8,,
123,25-09-27 01:47:44,29.340,41.449,3.9,,
124,25-09-27 01:52:44,29.240,41.537,11.8,,
125,25-09-27 01:57:44,29.414,42.019,11.8,,
126,25-09-27 02:02:44,29.290,41.344,11.8,,
127,25-09-27 02:07:44,29.265,41.606,11.8,,
128,25-09-27 02:12:44,29.389,41.785,11.8,,
129,25-09-27 02:17:44,29.240,41.007,11.8,,
130,25-09-27 02:22:44,29.340,41.614,11.8,,
131,25-09-27 02:27:44,29.340,41.118,11.8,,
132,25-09-27 02:32:44,29.215,41.203,11.8,,
133,25-09-27 02:37:44,29.365,41.683,3.9,,
134,25-09-27 02:42:44,29.265,41.010,11.8,,
135,25-09-27 02:47:44,29.240,41.140,3.9,,
136,25-09-27 02:52:44,29.365,41.451,11.8,,
137,25-09-27 02:57:44,29.215,40.806,11.8,,
138,25-09-27 03:02:44,29.315,41.578,3.9,,
139,25-09-27 03:07:44,29.315,41.082,11.8,,
140,25-09-27 03:12:44,29.190,41.035,11.8,,
141,25-09-27 03:17:44,29.365,41.418,11.8,,
142,25-09-27 03:22:44,29.265,40.778,11.8,,
143,25-09-27 03:27:44,29.240,41.272,11.8,,
144,25-09-27 03:32:44,29.340,41.548,11.8,,
145,25-09-27 03:37:44,29.190,40.936,11.8,,
146,25-09-27 03:42:44,29.315,41.611,11.8,,
147,25-09-27 03:47:44,29.315,41.148,11.8,,
148,25-09-27 03:52:44,29.190,41.002,11.8,,
149,25-09-27 03:57:44,29.340,41.283,11.8,,
150,25-09-27 04:02:44,29.215,40.541,11.8,,
151,25-09-27 04:07:44,29.240,41.339,11.8,,
152,25-09-27 04:12:44,29.315,41.148,3.9,,
153,25-09-27 04:17:44,29.165,40.602,11.8,,
154,25-09-27 04:22:44,29.315,41.016,11.8,,
155,25-09-27 04:27:44,29.240,40.245,11.8,,
156,25-09-27 04:32:44,29.190,40.903,11.8,,
157,25-09-27 04:37:44,29.315,41.347,11.8,,
158,25-09-27 04:42:44,29.165,40.734,11.8,,
159,25-09-27 04:47:44,29.265,41.143,11.8,,
160,25-09-27 04:52:44,29.265,40.579,11.8,,
161,25-09-27 04:57:44,29.165,40.701,11.8,,
162,25-09-27 05:02:44,29.340,41.051,11.8,,
163,25-09-27 05:07:44,29.215,40.209,11.8,,
164,25-09-27 05:12:44,29.215,41.071,11.8,,
165,25-09-27 05:17:44,29.315,41.115,11.8,,
166,25-09-27 05:22:44,29.165,40.734,11.8,,
167,25-09-27 05:27:44,29.290,40.549,11.8,,
168,25-09-27 05:32:44,29.240,39.547,11.8,,
169,25-09-27 05:37:44,29.140,39.636,11.8,,
170,25-09-27 05:42:44,30.142,38.506,32280.1,,
171,25-09-27 05:47:44,32.613,34.356,32280.1,,
172,25-09-27 05:52:44,34.229,32.791,32280.1,,
173,25-09-27 05:57:44,35.262,32.192,32280.1,,
174,25-09-27 06:02:44,35.958,30.936,32280.1,,
175,25-09-27 06:07:44,36.444,30.525,32280.1,,
176,25-09-27 06:12:44,36.796,30.415,32280.1,,
177,25-09-27 06:17:44,37.015,30.119,32280.1,,
178,25-09-27 06:22:44,37.151,30.060,32280.1,,
179,25-09-27 06:27:44,37.288,29.932,32280.1,,
180,25-09-27 06:32:44,37.343,29.936,32280.1,,
181,25-09-27 06:37:44,37.398,29.801,32280.1,,
182,25-09-27 06:42:44,37.425,29.803,32280.1,,
183,25-09-27 06:47:44,37.453,29.805,32280.1,,
184,25-09-27 06:52:44,37.480,30.157,32280.1,,
185,25-09-27 06:57:44,37.508,29.740,32280.1,,
186,25-09-27 07:02:44,37.508,30.159,32280.1,,
187,25-09-27 07:07:44,37.508,30.438,32280.1,,
188,25-09-27 07:12:44,37.535,30.091,32280.1,,
189,25-09-27 07:17:44,37.563,30.163,32280.1,,
190,25-09-27 07:22:44,37.563,30.093,32280.1,,
191,25-09-27 07:27:44,37.563,30.442,32280.1,,
192,25-09-27 07:32:44,37.563,30.303,32280.1,,
193,25-09-27 07:37:44,37.590,30.235,32280.1,,
194,25-09-27 07:42:44,37.590,30.305,32280.1,,
195,25-09-27 07:47:44,37.590,30.584,32280.1,,
196,25-09-27 07:52:44,37.563,30.860,32280.1,,
197,25-09-27 07:57:44,37.563,31.139,32280.1,,
198,25-09-27 08:02:44,37.563,31.417,32280.1,,
199,25-09-27 08:07:44,37.563,31.417,32280.1,,
200,25-09-27 08:12:44,37.563,31.417,32280.1,,
201,25-09-27 08:17:44,37.563,31.417,32280.1,,
202,25-09-27 08:22:44,37.563,31.382,32280.1,,
203,25-09-27 08:27:44,37.563,31.660,32280.1,,
204,25-09-27 08:32:44,37.563,31.556,32280.1,,
205,25-09-27 08:37:44,37.563,31.973,32280.1,,
206,25-09-27 08:42:44,37.590,32.045,32280.1,,
207,25-09-27 08:47:44,37.590,31.975,32280.1,,
208,25-09-27 08:52:44,37.590,31.593,32280.1,,
209,25-09-27 08:57:44,37.590,31.593,32280.1,,
210,25-09-27 09:02:44,37.590,32.045,32280.1,,
211,25-09-27 09:07:44,37.590,32.114,32280.1,,
212,25-09-27 09:12:44,37.590,32.253,32280.1,,
213,25-09-27 09:17:44,37.618,32.429,32280.1,,
214,25-09-27 09:22:44,37.618,31.978,32280.1,,
215,25-09-27 09:27:44,37.618,31.769,32280.1,,
216,25-09-27 09:32:44,37.618,31.804,32280.1,,
217,25-09-27 09:37:44,37.618,31.943,32280.1,,
218,25-09-27 09:42:44,37.645,32.258,32280.1,,
219,25-09-27 09:47:44,37.645,32.188,32280.1,,
220,25-09-27 09:52:44,37.645,32.327,32280.1,,
221,25-09-27 09:57:44,37.645,32.188,32280.1,,
222,25-09-27 10:02:44,37.645,32.188,32280.1,,
223,25-09-27 10:07:44,37.645,32.258,32280.1,,
224,25-09-27 10:12:44,37.645,32.049,32280.1,,
225,25-09-27 10:17:44,37.645,31.910,32280.1,,
226,25-09-27 10:22:44,37.645,32.153,32280.1,,
227,25-09-27 10:27:44,37.645,32.188,32280.1,,
228,25-09-27 10:32:44,37.645,32.153,32280.1,,
229,25-09-27 10:37:44,37.645,32.258,32280.1,,
230,25-09-27 10:42:44,37.645,32.223,32280.1,,
231,25-09-27 10:47:44,37.673,32.433,32280.1,,
232,25-09-27 10:52:44,37.645,32.466,32280.1,,
233,25-09-27 10:57:44,37.673,32.745,32280.1,,
234,25-09-27 11:02:44,37.673,32.745,32280.1,,
235,25-09-27 11:07:44,37.700,32.540,32280.1,,
236,25-09-27 11:12:44,37.700,32.609,32280.1,,
237,25-09-27 11:17:44,37.673,32.433,32280.1,,
238,25-09-27 11:22:44,37.700,32.644,32280.1,,
239,25-09-27 11:27:44,37.673,32.503,32280.1,,
240,25-09-27 11:32:44,37.700,32.540,32280.1,,
241,25-09-27 11:37:44,37.673,32.641,32280.1,,
242,25-09-27 11:42:44,37.700,32.540,32280.1,,
243,25-09-27 11:47:44,37.700,32.783,32280.1,,
244,25-09-27 11:52:44,37.673,32.572,32280.1,,
245,25-09-27 11:57:44,37.700,32.817,32280.1,,
246,25-09-27 12:02:44,37.700,32.609,32280.1,,
247,25-09-27 12:07:44,37.700,32.748,32280.1,,
248,25-09-27 12:12:44,37.700,32.644,32280.1,,
249,25-09-27 12:17:44,37.700,32.609,32280.1,,
250,25-09-27 12:22:44,37.673,32.711,32280.1,,
251,25-09-27 12:27:44,37.700,32.470,32280.1,,
252,25-09-27 12:32:44,37.700,32.470,32280.1,,
253,25-09-27 12:37:44,37.700,32.470,32280.1,,
254,25-09-27 12:42:44,37.700,32.297,32280.1,,
255,25-09-27 12:47:44,37.700,32.158,32280.1,,
256,25-09-27 12:52:44,37.673,32.121,32280.1,,
257,25-09-27 12:57:44,37.700,32.366,32280.1,,
258,25-09-27 13:02:44,37.700,32.332,32280.1,,
259,25-09-27 13:07:44,37.700,32.644,32280.1,,
260,25-09-27 13:12:44,37.700,32.401,32280.1,,
261,25-09-27 13:17:44,37.728,32.577,32280.1,,
262,25-09-27 13:22:44,37.728,32.612,32280.1,,
263,25-09-27 13:27:44,37.728,32.542,32280.1,,
264,25-09-27 13:32:44,37.728,32.716,32280.1,,
265,25-09-27 13:37:44,37.728,32.542,32280.1,,
266,25-09-27 13:42:44,37.728,32.646,32280.1,,
267,25-09-27 13:47:44,37.728,32.473,32280.1,,
268,25-09-27 13:52:44,37.728,32.681,32280.1,,
269,25-09-27 13:57:44,37.728,32.612,32280.1,,
270,25-09-27 14:02:44,37.755,32.475,32280.1,,
271,25-09-27 14:07:44,37.755,32.753,32280.1,,
272,25-09-27 14:12:44,37.755,32.683,32280.1,,
273,25-09-27 14:17:44,37.755,32.891,32280.1,,
274,25-09-27 14:22:44,37.755,32.753,32280.1,,
275,25-09-27 14:27:44,37.755,32.822,32280.1,,
276,25-09-27 14:32:44,37.728,32.924,32280.1,,
277,25-09-27 14:37:44,37.755,32.683,32280.1,,
278,25-09-27 14:42:44,37.755,32.822,32280.1,,
279,25-09-27 14:47:44,37.728,32.612,32280.1,,
280,25-09-27 14:52:44,37.755,32.683,32280.1,,
281,25-09-27 14:57:44,37.728,32.577,32280.1,,
282,25-09-27 15:02:44,37.755,32.753,32280.1,,
283,25-09-27 15:07:44,37.755,32.822,32280.1,,
284,25-09-27 15:12:44,37.755,32.753,32280.1,,
285,25-09-27 15:17:44,37.783,32.928,32280.1,,
286,25-09-27 15:22:44,37.755,32.753,32280.1,,
287,25-09-27 15:27:44,37.755,32.683,32280.1,,
288,25-09-27 15:32:44,37.755,32.753,32280.1,,
289,25-09-27 15:37:44,37.755,32.614,32280.1,,
290,25-09-27 15:42:44,37.755,33.341,32280.1,,
291,25-09-27 15:47:44,37.783,34.208,32280.1,,
292,25-09-27 15:52:44,37.811,34.866,32280.1,,
293,25-09-27 15:57:44,37.838,34.006,32280.1,,
294,25-09-27 16:02:44,37.838,32.968,32280.1,,
295,25-09-27 16:07:44,37.783,32.547,32280.1,,
296,25-09-27 16:12:44,37.976,33.672,32280.1,,
297,25-09-27 16:17:44,37.893,33.734,32280.1,,
298,25-09-27 16:22:44,37.949,33.185,32280.1,,
299,25-09-27 16:27:44,37.949,32.839,32280.1,,
300,25-09-27 16:32:44,37.976,32.216,32280.1,,
301,25-09-27 16:37:44,37.949,31.936,32280.1,,
302,25-09-27 16:42:44,37.976,31.799,32280.1,,
303,25-09-27 16:47:44,37.949,31.936,32280.1,,
304,25-09-27 16:52:44,37.949,31.901,32280.1,,
305,25-09-27 16:57:44,37.921,31.412,32280.1,,
306,25-09-27 17:02:44,37.921,31.099,32280.1,,
307,25-09-27 17:07:44,37.921,30.646,32280.1,,
308,25-09-27 17:12:44,37.921,30.157,32280.1,,
309,25-09-27 17:17:44,37.921,30.192,32280.1,,
310,25-09-27 17:22:44,37.893,29.980,32280.1,,
311,25-09-27 17:27:44,37.893,30.120,32280.1,,
312,25-09-27 17:32:44,37.893,30.330,32280.1,,
313,25-09-27 17:37:44,37.866,30.502,32280.1,,
314,25-09-27 17:42:44,37.866,30.502,32280.1,,
315,25-09-27 17:47:44,37.838,30.639,32280.1,,
316,25-09-27 17:52:44,37.838,30.883,32280.1,,
317,25-09-27 17:57:44,37.811,30.846,32280.1,,
318,25-09-27 18:02:44,37.838,31.301,32280.1,,
319,25-09-27 18:07:44,37.811,31.577,32280.1,,
320,25-09-27 18:12:44,37.783,31.192,32280.1,,
321,25-09-27 18:17:44,37.783,30.704,32280.1,,
322,25-09-27 18:22:44,37.783,30.321,32280.1,,
323,25-09-27 18:27:44,37.783,30.355,32280.1,,
324,25-09-27 18:32:44,37.783,30.321,32280.1,,
325,25-09-27 18:37:44,37.783,30.460,32280.1,,
326,25-09-27 18:42:44,37.783,30.251,32280.1,,
327,25-09-27 18:47:44,37.811,29.939,32280.1,,
328,25-09-27 18:52:44,37.811,29.974,32280.1,,
329,25-09-27 18:57:44,37.783,30.111,32280.1,,
330,25-09-27 19:02:44,37.783,30.146,32280.1,,
331,25-09-27 19:07:44,37.783,29.867,32280.1,,
332,25-09-27 19:12:44,37.755,29.795,32280.1,,
333,25-09-27 19:17:44,37.783,29.692,32280.1,,
334,25-09-27 19:22:44,37.783,29.552,32280.1,,
335,25-09-27 19:27:44,37.370,31.192,32280.1,,
336,25-09-27 19:32:44,37.124,32.802,32280.1,,
337,25-09-27 19:37:44,36.851,33.711,32280.1,,
338,25-09-27 19:42:44,35.931,35.757,11.8,,
339,25-09-27 19:47:44,33.887,40.235,11.8,,
340,25-09-27 19:52:44,32.536,42.996,11.8,,
341,25-09-27 19:57:44,31.612,43.058,11.8,,
342,25-09-27 20:02:44,30.925,43.642,11.8,,
343,25-09-27 20:07:44,30.520,45.832,11.8,,
344,25-09-27 20:12:44,30.268,46.587,11.8,,
345,25-09-27 20:17:44,30.016,46.557,11.8,,
346,25-09-27 20:22:44,29.941,47.265,11.8,,
347,25-09-27 20:27:44,29.815,46.924,11.8,,
348,25-09-27 20:32:44,29.715,46.259,3.9,,
349,25-09-27 20:37:44,29.765,46.592,11.8,,
350,25-09-27 20:42:44,29.640,45.531,11.8,,
351,25-09-27 20:47:44,29.640,45.269,11.8,,
352,25-09-27 20:52:44,29.715,46.096,11.8,,
353,25-09-27 20:57:44,29.565,44.932,3.9,,
354,25-09-27 21:02:44,29.615,45.102,11.8,,
355,25-09-27 21:07:44,29.665,45.272,11.8,,
356,25-09-27 21:12:44,29.540,44.142,11.8,,
357,25-09-27 21:17:44,29.615,44.840,11.8,,
358,25-09-27 21:22:44,29.590,44.443,11.8,,
359,25-09-27 21:27:44,29.490,43.972,11.8,,
360,25-09-27 21:32:44,29.640,44.285,3.9,,
361,25-09-27 21:37:44,29.540,43.550,11.8,,
362,25-09-27 21:42:44,29.490,43.479,11.8,,
363,25-09-27 21:47:44,29.615,43.888,11.8,,
364,25-09-27 21:52:44,29.490,43.083,11.8,,
365,25-09-27 21:57:44,29.515,42.954,11.8,,
366,25-09-27 22:02:44,29.615,43.657,11.8,,
367,25-09-27 22:07:44,29.464,42.487,11.8,,
368,25-09-27 22:12:44,29.540,42.990,11.8,,
369,25-09-27 22:17:44,29.590,42.897,11.8,,
370,25-09-27 22:22:44,29.439,41.890,11.8,,
371,25-09-27 22:27:44,29.565,42.993,11.8,,
372,25-09-27 22:32:44,29.565,42.960,11.8,,
373,25-09-27 22:37:44,29.439,42.154,11.8,,
374,25-09-27 22:42:44,29.590,43.128,3.9,,
375,25-09-27 22:47:44,29.515,42.757,11.8,,
376,25-09-27 22:52:44,29.439,42.484,11.8,,
377,25-09-27 22:57:44,29.590,42.831,11.8,,
378,25-09-27 23:02:44,29.464,42.157,11.8,,
379,25-09-27 23:07:44,29.490,42.952,11.8,,
380,25-09-27 23:12:44,29.590,42.072,3.9,,
381,25-09-27 23:17:44,29.439,41.724,11.8,,
382,25-09-27 23:22:44,29.540,42.297,11.8,,
383,25-09-27 23:27:44,29.540,42.429,11.8,,
384,25-09-27 23:32:44,29.414,41.887,11.8,,
385,25-09-27 23:37:44,29.565,42.630,11.8,,
386,25-09-27 23:42:44,29.490,41.961,11.8,,
387,25-09-27 23:47:44,29.414,42.019,11.8,,
388,25-09-27 23:52:44,29.565,42.168,11.8,,
389,25-09-27 23:57:44,29.439,41.493,11.8,,
390,25-09-28 00:02:44,29.414,41.689,11.8,,
391,25-09-28 00:07:44,29.540,42.066,11.8,,
392,25-09-28 00:12:44,29.389,41.222,11.8,,
393,25-09-28 00:17:44,29.464,42.124,3.9,,
394,25-09-28 00:22:44,29.515,41.964,11.8,,
395,25-09-28 00:27:44,29.365,42.014,11.8,,
396,25-09-28 00:32:44,29.515,42.493,11.8,,
397,25-09-28 00:37:44,29.439,41.890,11.8,,
398,25-09-28 00:42:44,29.365,41.948,11.8,,
399,25-09-28 00:47:44,29.540,41.570,11.8,,
400,25-09-28 00:52:44,29.414,40.894,11.8,,
401,25-09-28 00:57:44,29.414,42.217,11.8,,
402,25-09-28 01:02:44,29.540,42.825,11.8,,
403,25-09-28 01:07:44,29.389,42.347,11.8,,
404,25-09-28 01:12:44,29.464,42.916,11.8,,
405,25-09-28 01:17:44,29.515,42.658,11.8,,
406,25-09-28 01:22:44,29.365,42.047,11.8,,
407,25-09-28 01:27:44,29.515,42.987,11.8,,
408,25-09-28 01:32:44,29.490,43.149,11.8,,
409,25-09-28 01:37:44,29.365,42.806,11.8,,
410,25-09-28 01:42:44,29.515,43.218,11.8,,
411,25-09-28 01:47:44,29.414,42.811,11.8,,
412,25-09-28 01:52:44,29.389,43.138,11.8,,
413,25-09-28 01:57:44,29.515,43.284,11.8,,
414,25-09-28 02:02:44,29.389,43.533,11.8,,
415,25-09-28 02:07:44,29.464,43.838,11.8,,
416,25-09-28 02:12:44,29.540,43.715,11.8,,
417,25-09-28 02:17:44,29.365,42.575,11.8,,
418,25-09-28 02:22:44,29.515,43.514,11.8,,
419,25-09-28 02:27:44,29.515,43.613,11.8,,
420,25-09-28 02:32:44,29.389,43.599,11.8,,
421,25-09-28 02:37:44,29.540,43.945,11.8,,
422,25-09-28 02:42:44,29.490,43.873,11.8,,
423,25-09-28 02:47:44,29.414,43.930,11.8,,
424,25-09-28 02:52:44,29.565,44.342,11.8,,
425,25-09-28 02:57:44,29.439,43.966,11.8,,
426,25-09-28 03:02:44,29.439,44.360,11.8,,
427,25-09-28 03:07:44,29.565,44.211,11.8,,
428,25-09-28 03:12:44,29.389,44.092,11.8,,
429,25-09-28 03:17:44,29.515,44.730,3.9,,
430,25-09-28 03:22:44,29.540,44.208,11.8,,
431,25-09-28 03:27:44,29.389,44.322,11.8,,
432,25-09-28 03:32:44,29.540,44.569,11.8,,
433,25-09-28 03:37:44,29.515,44.402,11.8,,
434,25-09-28 03:42:44,29.389,44.518,11.8,,
435,25-09-28 03:47:44,29.565,44.965,11.8,,
436,25-09-28 03:52:44,29.515,44.697,11.8,,
437,25-09-28 03:57:44,29.439,44.983,11.8,,
438,25-09-28 04:02:44,29.590,45.132,11.8,,
439,25-09-28 04:07:44,29.464,44.953,11.8,,
440,25-09-28 04:12:44,29.490,45.775,11.8,,
441,25-09-28 04:17:44,29.590,46.113,11.8,,
442,25-09-28 04:22:44,29.464,46.359,11.8,,
443,25-09-28 04:27:44,29.540,46.760,11.8,,
444,25-09-28 04:32:44,29.590,46.668,11.8,,
445,25-09-28 04:37:44,29.490,46.884,11.8,,
446,25-09-28 04:42:44,29.615,47.160,11.8,,
447,25-09-28 04:47:44,29.590,46.929,11.8,,
448,25-09-28 04:52:44,29.490,47.145,3.9,,
449,25-09-28 04:57:44,29.640,47.293,11.8,,
450,25-09-28 05:02:44,29.540,46.760,11.8,,
451,25-09-28 05:07:44,29.515,47.701,11.8,,
452,25-09-28 05:12:44,29.665,47.882,11.8,,
453,25-09-28 05:17:44,29.565,48.129,11.8,,
454,25-09-28 05:22:44,29.590,48.489,11.8,,
455,25-09-28 05:27:44,29.665,48.369,11.8,,
456,25-09-28 05:32:44,29.540,48.386,11.8,,
457,25-09-28 05:37:44,29.615,48.395,11.8,,
458,25-09-28 05:42:44,30.369,45.355,32280.1,,
459,25-09-28 05:47:44,32.562,40.598,32280.1,,
460,25-09-28 05:52:44,34.097,40.526,32280.1,,
461,25-09-28 05:57:44,34.995,38.119,32280.1,,
462,25-09-28 06:02:44,35.502,35.785,32280.1,,
463,25-09-28 06:07:44,35.931,34.488,32280.1,,
464,25-09-28 06:12:44,36.254,33.726,32280.1,,
465,25-09-28 06:17:44,36.417,33.672,32280.1,,
466,25-09-28 06:22:44,36.525,33.199,32280.1,,
467,25-09-28 06:27:44,36.633,32.621,32280.1,,
468,25-09-28 06:32:44,36.661,32.589,32280.1,,
469,25-09-28 06:37:44,36.688,32.591,32280.1,,
470,25-09-28 06:42:44,36.715,32.455,32280.1,,
471,25-09-28 06:47:44,36.769,32.113,32280.1,,
472,25-09-28 06:52:44,36.796,31.804,32280.1,,
473,25-09-28 06:57:44,36.824,31.355,32280.1,,
474,25-09-28 07:02:44,36.851,31.358,32280.1,,
475,25-09-28 07:07:44,36.824,31.702,32280.1,,
476,25-09-28 07:12:44,36.824,31.876,32280.1,,
477,25-09-28 07:17:44,36.824,31.737,32280.1,,
478,25-09-28 07:22:44,36.824,31.425,32280.1,,
479,25-09-28 07:27:44,36.851,31.323,32280.1,,
